verdict;morfeuszText;originalText
FALSE;HTTP 149 129 43 154 2020 05 01 szumowski zdenerwować Simon ekspert Choroba zakaznych Dostal szumowski zakaz wypowiadać si czy rzad oklamuje człowiek fbclid=IwAR0wYnptAJo6AmXCZ7eAKNHu dYOMmAF3XnEHdi36aQ23L_CnmQmmnXDuU8 co QdENv3nGjM;http://149.129.43.154/2020/05/01/szumowski-zdenerwowany-prof-simon-ekspert-chorob-zakaznych-dostal-od-szumowskiego-zakaz-wypowiadania-sie-czy-rzad-oklamuje-ludzi/?fbclid=IwAR0wYnptAJo6AmXCZ7eAKNHu-dYOMmAF3XnEHdi36aQ23L_CnmQmmnXDuU8 https://t.co/QdENv3nGjM
FALSE;sbalcerac NATO pierwotny wersja wirus pochodzić forta Detrick Wuhan przywlec ja żołnierz USA październik Chińczyk nie ciemię bić zakumali co jak wziąć człowiek twarz wyjść z wirus nie taki groźny dobry pretekst terror modlić chiński wdrożyć cały świat;@sbalcerac @NATO Bo pierwotna wersja wirusa pochodzi z Fort Detrick. Do Wuhan przywlekli ja żołnierze USA w październiku. Chińczycy nie w ciemię bici zakumali co i jak i wzięli ludzi za twarz. Wyszło, ze wirus nie taki groźny, ale dobry pretekst by terror
FALSE;Paweł Tanajno aresztowany podać podstawa prawny zostać infrastruktura mieć butel gaz herbata agregat namiot zostać taki jak ja który relacjonować jak reporter wiedzieć co dziękować być my nie poddać się #WTwoimImieniu;Paweł Tanajno aresztowany. Bez podania podstawy prawnej. Została infrastruktura. Mamy butle z gazem pod herbatę, agregat, namioty. Zostali tacy jak Ja którzy relacjonowali jak reporterzy. Ale wiecie co. Dziękuję że jesteście z Nami. Nie poddamy się.             #WTwoimImieniu
FALSE;to być oczywisty już sam siebie antykoronawirusowe działanie górnik to tylko pretekst służyć celowy doprowadzenie kopalnia bankructwo oczywisty dowód no to już mieć dowód grafika prawie rok koronawirus PiS #Polin syjonizm co JnkaKOs9BV;"To było oczywiste już samo w sobie że ""antykoronawirusowe"" działania wobec górników to tylko pretekst służący celowemu doprowadzeniu kopalń do bankructwa. Oczywiste, ale bez dowodu... No to już macie DOWÓD: Grafika sprzed prawie roku(!)#koronawirus #PiS  - #Polin i #Syjonizm https://t.co/JnkaKOs9BV"
FALSE;szybki test antygenowy nie zostać pełnia sprawdzić ministerstwo Zdrowie chcieć on wydać 120 to kolejny absurdalny zakup ministerstwo Zdrowie pośrednictwo polski ambasada Seul sprowadzać być Polska test który nie być mieć zastosowanie co hWJOBnjb19; Szybkie testy antygenowe nie zostały w pełni sprawdzone, ale Ministerstwo Zdrowia chce na nie wydać 120 mln zł❗️To kolejny absurdalny zakup Ministerstwa Zdrowia - za pośrednictwem polskiej ambasady w Seulu sprowadzane są do Polski testy, które nie będą miały zastosowania: https://t.co/hWJOBnjb19
FALSE;Grecja każdy wypisać akt Zgon diagnoza koronawirus szpital otrzymywać pieniądz środek Unia europejski domyślać się być to projekt obejmować wszystek kraj Unia lekarz dwoić się troić diagnoza być zgodny oczekiwanie;W Grecji za każdy wypisany Akt Zgonu z diagnozą koronawirus, szpital otrzymuje pieniądze ze środków Unii Europejskiej.Domyślam się, że jest to projekt obejmujący wszystkie kraje Unii. Lekarze dwoją się więc i troją, aby diagnoza była zgodna z oczekiwaniami.
FALSE;być dyrektor program onkologiczny WHO profesor Karol Sikora twierdzić istnieć realny szansa koronawirus wypalić się naturalnie opracować jakikolwiek szczepionka;Były dyrektor programu onkologicznego WHO profesor Karol Sikora twierdzi, że Istnieje realna szansa, że koronawirus wypali się naturalnie przed opracowaniem jakiejkolwiek szczepionki.
TRUE;to się dziać naprawdę ręka opadać tylko co 3QHtOHB1iv;To się dzieje naprawdę! Ręce opadają i nie tylko...... https://t.co/3QHtOHB1iv
FALSE;Matka_Kurka teraz info UK znajomy żona pracować dom starzec nikt podopieczny nie mieć stwierdzić koronawirus gdy kto teraz tam umrzeć zawsze powód akt zgon być koronawirus;@Matka_Kurka A teraz info z UK. Znajomego żona pracuje w domu starców i NIKT z podopiecznych nie ma stwierdzonego koronawirusa, lecz gdy ktoś teraz tam umrze ZAWSZE powodem w akcie zgonu jest koronawirus!
TRUE;przyjechać chwila pracownik sezonowy UA zrobić on test darmo kto się to opłacać Kamysz być przedstawiciel partia związać rolnictwo zwłaszcza być wykształcenie lekarz;"Przyjadą na chwilę pracownicy sezonowi z UA, zrobimy im testy za ""darmo"", komu się to opłaca ???Kamysz jest przedstawicielem partii związanej z rolnictwem, zwłaszcza, że jest z wykształcenia lekarzem ???"
FALSE;WiadomosciTVP ponad 10 ty być wyzdrowieć #COVID19 1038 zemrzeć to umieralność być dość wysoki 10 #wieszwiecej koronawirus co M4kBfyuP3T;@WiadomosciTVP Skoro ponad 10 tyś. wyzdrowiało na #COVID19 a ok. 1038 zmarło to umieralność jest dość wysoka 10% #wieszwiecej #koronawirus https://t.co/M4kBfyuP3T
FALSE;Grześkowiak Polska koronawirus zemrzeć około 3 tysiące osoba nie zaliczać się ten nie doczekać wynik nie zostać zbadać to oznaczać z Polska być 1 chory koronawirus co TOjwZ2hAqn;Dr.Grześkowiak w Polsce na #Koronawirus zmarło około 3 tysiące osób,bo nie zalicza się tych co nie doczekali wyników,lub nie zostali zbadani,to oznacza ze w Polsce jest 1 mln chorych na #Koronawirus https://t.co/TOjwZ2hAqn
FALSE;UE liczba zakażenie koronawirus spadać zatrważająco rosnąć marzec rząd PiS zamknąć kraj testować obywatel Max skala izolować zakazić skupić się przekonywać maj można bezpiecznie głosować świat my zazdrościć Świat być my współczuć;W UE liczba zakażeń #koronawirus spada, w PL zatrważająco rośnie.W marcu rząd #PiS zamknął kraj. Zamiast testować obywateli na max skalę i izolować zakażonych, skupił się na przekonywaniu, że w maju można bezpiecznie głosować i że świat nam zazdrości.Świat będzie nam współczuć
FALSE;ciekawy informacja zdanie włoski badacz szpital Mediolan bardzo zaawansowany Włochy klinicznie nie mieć już wirus stać się on nieszkodliwy można wrócić normalny życie #KoronawirusWPolsce koronawirus co xT410qcOqx;Ciekawa informacja, zdaniem włoskiego badacza ze szpitala w Mediolanie (najbardziej zaawansowanego we Włoszech) klinicznie nie ma już wirusa, stał się on nieszkodliwy, i można wrócić do normalnego życia. #KoronawirusWPolsce #koronawirus https://t.co/xT410qcOqx
FALSE;kolejny milion błoto ministerstwo edukacja wydać 16 milion platforma nauka online platforma który nie mieć Jadwiga mówić koronawirus to szansa nie wspomnieć kto nie musieć;Kolejne miliony w błoto. Ministerstwo Edukacji wydało 16 milionów na platformę do nauki online. Platformę, której nie ma!Jadwiga mówiła, że koronawirus to szansa. Nie wspomniała dla kogo? Nie musiała.
TRUE;wyciec dokument WHO Chiny opóźniać ujawnienie ważny informacja koronawirus co pTqqe07IC4 Chiny koronawirus #CCPVirus #wirusKPCh;Wyciekły dokumenty #WHO. Chiny opóźniały ujawnienie ważnych informacji o koronawirusie.https://t.co/pTqqe07IC4#Chiny #koronawirus #CCPVirus #wirusKPCh
FALSE;Ciekaw0stki PadloRadek koronawirus zostać wymyślić cel przejąć likwidacja gospodarka polski obcy to końcowy etap likwidacja państwo polski który mało kto Polska wiedzieć pierwszy etap to oczywiście traktat lizboński podpisać Kaczyński;@Ciekaw0stki @PadloRadek Koronawirus został wymyślony w celu przejęcia i likwidacji gospodarki Polskiej przez obcych. To końcowy etap likwidacji Państwa Polskiego, o którym mało kto w Polsce wie. Pierwszy etap to oczywiście Traktat Lizboński podpisany prz
FALSE;Sasin pojechać Śląsk zawieźć górnik koronawirus cokolwiek Sasin on zrobić gdziekolwiek nie pojechać to zawsze piękny katastrofa #sasinizm co MzaJqkreg0;Sasin pojechał na Śląsk i zawiózł górnikom #koronawirusCokolwiek Sasin nie zrobi, gdziekolwiek nie pojedzie to zawsze piękna katastrofa.  #sasinizm https://t.co/MzaJqkreg0
FALSE;tak oto 1,5 tydzień fatalny decyzja Morawiecki dotyczyć przyjąć Polska szwedzki model walka epidemia zaczynać obserwować gwałtowny wzrost zapadalność wybuch ognisko niestety ten raz ognisko otwarty związać zakład praca SzumowskiLukasz co iOpMggykBy co Gc0J9SDLs3;I tak oto 1,5 tygodnia po fatalnej decyzji @MorawieckiM dotyczącej przyjęcia w Polsce szwedzkiego modelu walki z epidemią zaczynamy obserwować gwałtowne wzrosty zapadalności i wybuchy ognisk, niestety tym razem ognisk otwartych związanych z zakładami pracy. @SzumowskiLukasz https://t.co/iOpMggykBy https://t.co/Gc0J9SDLs3
FALSE;oszust naród polski skończyć już kłamać być epidemia Covid19 rząd PiS medium epidemia nie mieć wirus grypa sezonowy być bardzo zaraźliwy śmiertelny ten Covid19;Oszuści na Narodzie polskim, Skończcie już kłamać że jest epidemia Covid19. Rząd PiS, Media. Epidemii nie ma. Wirus grypy sezonowej jest bardziej zaraźliwy i śmiertelny jak ten Covid19.
TRUE;medium informować Brazylia cmentarz być ekshumacja osoba który zmarły mało 3 rok powód zrobić miejsce ofiara koronawirus wykopać szczątek maić być przechowywać specjalny torba trafić on pojemnik ostatecznie spocząć kostnica;Media informują, że w Brazylii na cmentarzach będą ekshumacje osób, które zmarły co najmniej 3 lata temuPowód? Zrobienie miejsca dla ofiar koronawirusa.Wykopane szczątki mają być przechowywane w specjalnych torbach, trafią one do pojemników i ostatecznie spoczną w kostnicach.
FALSE;chcieć wiedzieć czy mieć koronawirus a jechać Grecja wakacje tam turysta zagrozić obszar robić się test Polska robić się on coraz mało;Chcesz wiedzieć, czy masz #koronawirus.a? Jedź do Grecji na wakacje. Tam turystom z tzw. zagrożonych obszarów robi się testy. W Polsce robi się ich coraz mniej
TRUE;AndrzejMezynski ilość potwierdzić przypadek to ilość zakażenie dlaczego większość człowiek powielać błędny założenie jedyny co sensowny można liczyć ten ilość hospitalizować inny liczny nie pokazować ty żaden trend;@AndrzejMezynski Ale ilość potwierdzonych przypadków to nie ilość zakażeń. Dlaczego większości ludzi powiela błędne założenia. Jedyne co sensownego można liczyć to ilość hospitalizowanych. Inne liczny nie pokazują ci żadnych trendów.
FALSE;tak to być gdy egzosomy interpretować być test koronawirus co 53xxTNeUiU;"Tak to jest gdy ""egzosomy"" interpretowane są w testach jako ""koronawirus"" https://t.co/53xxTNeUiU"
FALSE;kto jeszcze interesować pandemia koronawirus to niech rzucić oko poniższy wykres 1 Białoruś zero obostrzenie 2 Polska lockdown maseczka ewangelista Mateusz Morawiecki Łukasz szumowski odnieść wielki sukces uratować Polak co LDTNb79lQT;Jeśli kogoś jeszcze interesuje pandemia #koronawirus, to niech rzuci okiem na poniższe wykresy. 1) Białoruś - zero obostrzeń. 2) Polska - lockdown i maseczki. Ewangeliści Mateusz Morawiecki i Łukasz Szumowski odnieśli wielki sukces i uratowali Polaków? https://t.co/LDTNb79lQT
FALSE;zapowiadać się kolejny edycja pandemia #COVID19 #COVID__19 koronawirus co wsKBsAu7x2;Zapowiada się kolejna edycja pandemii#COVID19 #COVID__19 #koronawirus https://t.co/wsKBsAu7x2
FALSE;tak wyglądać nanochip porównanie ziarenko ryż to właśnie taki nanochip być się znajdować szczepionka #COVID19 to właśnie to być ten pseudo pandemia cały populacja ziemia oznaczyć inwigilować jak stado baran co 4LWGOBSJEw;Tak wygląda nanochip w porównaniu do ziarenka ryżu ... To właśnie taki nanochip będzie się znajdował w szczepionce na #COVID19  ! To właśnie po to była ta pseudo #pandemia , żeby całą populację ziemi oznaczyć i inwigilować jak stado baranów! https://t.co/4LWGOBSJEw
FALSE;Szumowski być używać aplikacja protega Safe to nie być konieczność powrót obostrzenie być to niebywały sytuacja aplikacja nie być polski dzieło być prywatny program korporacja Google Appel być niebezpieczny co VeRQNs5h7R;Szumowski: Jeśli będziemy używać aplikacji ProteGo Safe, to nie będzie konieczności powrotu do obostrzeń.Jest to niebywała sytuacja, ponieważ aplikacja nie jest polskim dziełem. Jest prywatnym programem korporacji Google i Apple.Jest niebezpieczna !https://t.co/VeRQNs5h7R
FALSE;bardzo dotknąć kryzys COVID być kobieta dana EU 1 82 pracownik sklepowy kobieta 2 85 samotny rodzic to matka 3 76 pracownik medyczny to kobieta Polska 80 4 kobieta często pracować umowa śmieciowy co yVhzT0y8RV;Najbardziej dotknięte kryzysem COVID są kobiety.Według danych EU:1) 82% pracowników sklepowych to kobiety2) 85% samotnych rodziców to matki3) 76% pracowników medycznych to kobiety (w Polsce ok. 80%)4) Kobiety częściej pracują na umowach śmieciowychhttps://t.co/yVhzT0y8RV
FALSE;synxchaosu zelazna_logika 98 Polaki być badanie obowiązkowy szczepionka COVID 19;@synxchaosu @zelazna_logika 98% Polaków jest wg badań za obowiązkową szczepionką na COVID-19 :P
FALSE;epidemiczny prawda piotruchg Ika_SS6 General_Qanah Albert301271 Aleksan69788972 Ciekaw0stki Laweta2 MrWhitie Lech_PLO Margherita_PPP co IAFRlrCz6o;Epidemiczna prawda ⛔⛔⛔@piotruchg @Ika_SS6 @General_Qanah @Albert301271 @Aleksan69788972 @Ciekaw0stki @Laweta2 @MrWhitie @Lech_PLO @Margherita_PPP https://t.co/IAFRlrCz6o
FALSE;LE pas CNNEE Poner una foto de septiembre de 2019 para hacernos creer alga de actualidad como que no es muy ético #NoMasFakeNews co 6Jz087Lfax;¿Qué le pasa a @CNNEE? Poner una foto de septiembre de 2019 para hacernos creer algo de actualidad como que no es muy ético? #NoMasFakeNews https://t.co/6Jz087Lfax
FALSE;uniwersytet Sieczenowskim Rosja pomyślnie zakończyć badanie pierwszy świat szczepionka koronawirus co m1EgxAlNyJ;Na Uniwersytecie Sieczenowskim w Rosji pomyślnie zakończono badania nad pierwszą na świecie szczepionką przeciwko koronawirusowihttps://t.co/m1EgxAlNyJ
TRUE;warto rząd zastanowić się instytucja koroner trzeba przygotować się wzrost liczba zachorować #Covid_19 jesień ostrzegać lek med Małgorzata Kubicka Frączek całość co 3Cpv8BAlJk #IPPTV koronawirus co 2sLqchPaJK;Warto, żeby rząd zastanowił się nad instytucją koronera! Trzeba przygotować się wzrost liczby zachorowań na #Covid_19 jesienią - ostrzega lek. med. Małgorzata Kubicka-Frączek. CAŁOŚĆ: https://t.co/3Cpv8BAlJk #IPPTV #koronawirus https://t.co/2sLqchPaJK
FALSE;przeciwciało SARS CoV 2 wykryć wyleczyć także ponad 50 osoba który nigdy nie być zakazić ten wirus być móc mieć kontakt koronawirus przeziębieniowy zwierzęcy tyle właśnie być wart ten lipny test serologiczny co gLt9qdfsR7;Przeciwciała przeciwko SARS-CoV-2 wykryto u wyleczonych, ale także u ponad 50% osób, które nigdy nie były zakażone tym wirusem. Być może miały kontakt z koronawirusem przeziębieniowym lub zwierzęcym... Tyle właśnie są warte te lipne testy serologiczne.... https://t.co/gLt9qdfsR7
FALSE;rosesforhazz COVID 19 niestety mutować nie wiadomo ile ten szczepionka być aktualny gdy zostać koniec przebadać 100 procent;@rosesforhazz COVID-19 niestety mutuje, więc nie wiadomo na ile ta szczepionka będzie aktualna, gdy zostanie w końcu przebadana  w 100 procentach
FALSE;podsumowywać premier mówić powrót szkoła wrzesień MEN chcieć być wrócić szkoła nauczanie zdalny dopiero jak być ognisko koronawirus kolej samorząd dostawać laptop lekcja online dyrektor się cichy przygotowywać zdalny ;Podsumowując.Premier mówi, że powrót do szkół od września.MEN chce, abyśmy wrócili do szkół, ale nauczanie zdalne dopiero jak będzie ognisko koronawirusa.Z kolei samorządy dostają laptopy na lekcje online, a dyrektorzy się po cichu przygotowują na zdalne.Aha 
FALSE;noc przykrywka aferka LGBT Łukasz Szumowski wydać bezprawny rozporządzenie nakazywać także osoba dusić si nosić maseczka dawno nie być tak zepsuć władza taki potwór minister koronawirus co AIJXqtF5yA;W nocy, pod przykrywką aferki LGBT Łukasz Szumowski wydał bezprawne rozporządzenie nakazujące także osobom duszącym sie noszenie maseczek. Dawno nie było tak zepsutej władzy, takiego potwora - ministra #koronawirus https://t.co/AIJXqtF5yA
TRUE;ten zdjęcie symbol rząd podzielić Śląsk strefa czerwony zielony koronawirus ulica udostępniać co co clyKoyyQVt;To zdjęcie symbol. Rząd podzielił #Śląsk na strefę czerwoną i zieloną #koronawirus wzdłuż ulicy.  Udostępniajcie https://t.co/kbHTlnVl5X https://t.co/clyKoyyQVt
FALSE;79-letni biskup Paweł Cieślik zakazić koronawirus Bb Cieślik zasłynąć twierdzić koronawirus to kara homoseksualizm pedofilia co LiyJ5zbdQp;"""79-letni biskup Paweł Cieślik zakażony koronawirusem.Bb Cieślik zasłynął z twierdzenia, że ""#koronawirus to kara za homoseksualizm i pedofilię""https://t.co/LiyJ5zbdQp"
TRUE;JakubKrupa Pania Jakub czy czytać pan ten artykuł on umywać ręka odpowiedzialność być nie tak z szczepionka trochę to martwić pan czy nie co laPFSS9pki;@JakubKrupa Pania Jakubie czy czytał pan ten artykuł ?? Czyli oni umywają ręce od odpowiedzialności gdyby coś było nie tak ze szczepionka - trochę to martwi pana czy nie? https://t.co/laPFSS9pki
TRUE;szczepionka już listopad Rosjanin twierdzić praca trwać rok rząd PiS ogłosić stan epidemia 2020 Rosja 6 rok pracować szczepionka Polska ten kilka ładny rok Szumowski brać grant co 2ZDQyM09he BIPolska;Szczepionka już w listopadzie. Rosjanie twierdzą, że prace trwały od lat.Rząd pis ogłosił stan epidemii w 2020, a Rosja od 6 lat pracowała nad szczepionką. W Polsce te od kilku ładnych lat Szumowscy brali granty..... ...https://t.co/2ZDQyM09he przez @BIPolska
TRUE;żydowski lekarz nie chcieć się szczepić korona czy minister Szumowski móc by z to zrobić co Z25HcQuGUs;Żydowscy lekarze nie chcą się szczepić na koronę. Czy minister Szumowski mógłby coś z tym zrobić? https://t.co/Z25HcQuGUs
FALSE;nigdy nie powstać żaden skuteczny szczepionka koronawirus mutować on zbyt szybko Koniec kropka chodzić wyłącznie przewalić kasa to gigantyczny kasa rządzić nie obchodzić ile człowiek zostać wykończyć ramy ten eksperyment co csiRLbfkdX;Nigdy nie powstanie żadna skuteczna szczepionka na #koronawirus, ponieważ mutuje on zbyt szybko. Koniec i kropka. Chodzi tylko i wyłącznie o przewalenie kasy. I to gigantycznej kasy. Rządzących nie obchodzi, ilu ludzi zostanie wykończonych w ramach tego eksperymentu. https://t.co/csiRLbfkdX
FALSE;koronawirus być jak plaster miód cały zło ten świat wszystek choroba razem wziąć zauważyć być moment kiedy być koronawirus nie mieć zamach terrorystyczny moment kiedy być koronawirus nie mieć inny choroba koronawirus 80 bezobjawowy jak dobry duch;"Koronawirus jest jak plaster miodu na całe zło tego świata i wszystkie choroby razem wzięte.Zauważyliście że od momentu kiedy jest Koronawirus nie ma zamachów terrorystycznych?Od momentu kiedy jest koronawirus nie ma innych chorób.Koronawirus w 80% bezobjawowy jak ""dobry duch"""
FALSE;człowiek stosować maska nawet dochodzić zakażenie SarsCov2 to choroba przebiegać prawdopodobnie łagodnie CDC odsetka bezobjawowo skąpoobjawowy zakazić osoba stosować stosować maska to 40 80 #MaskujSię co b02bc7T9xg;U ludzi stosujących maski, nawet jeżeli dochodzi do zakażenia SarsCov2, to choroba przebiega najprawdopodobniej łagodniej (wg CDC odsetek bezobjawowo/skąpoobjawowych zakażonych u osób niestosujących vs stosujących maski to 40% vs 80%). #MaskujSięhttps://t.co/b02bc7T9xg
FALSE;zaledwie 12,6 Tys test zaledwie 377 nowy zakażenie prawicowy elektorat trąbić sukces rząd walka pandemia jedno się ten władza niewątpliwie udać zrobić idiota kilka milion człowiek koronawirus co lEumtVUzw8;Zaledwie 12,6 tys testów. Zaledwie 377 nowych zakażeń Prawicowy elektorat trąbi sukces rządu w walce z pandemią. Jedno się tej władzy niewątpliwie udało - zrobić idiotów z kilku milionów ludzi. #koronawirus https://t.co/lEumtVUzw8
FALSE;suplementacja witamina D zwiększać odporność Covid 19 sugerować naukowiec to dobry szczepionka co rxutdyn28C;Suplementacja witaminy-D zwiększa odporność na Covid-19 – sugerują naukowcy. To lepsze niż szczepionka https://t.co/rxutdyn28C
TRUE;niepokoić informacja szczepionka 10 procent co wytioIGzV2;"Niepokojące informacje ws. szczepionek. ""Tylko 10 procent""https://t.co/wytioIGzV2"
FALSE;Stany nauczyciel masowo protestować nie chcieć wracać praca wzgląd on zdrowie Covid19 wiele on udzielać dom korepetycje 100 godzina teraz kiedy szczepionka być blisko nauczyciel protestować szczepienie co iU7v5s1RwU;W Stanach nauczyciele masowo protestowali, że nie chcą wracać do pracy ze względu na ich zdrowie i Covid19. Wielu z nich udziela w domu korepetycje za $100 na godzinę.Teraz kiedy szczepionki są blisko, nauczyciele protestują przeciwko szczepieniom. https://t.co/iU7v5s1RwU
FALSE;nazwisko ukryć przedstawiciel nikt nie chcieć się pochwalić kto brać siebie odpowiedzialność zabijać Polak przedstawiciel kto powołać zespół sprawa zakup szczepionka COVID 19 co yGzrf0ktDE;"Nazwiska ukryte jako ""przedstawiciel"", nikt nie chce się pochwalić, kto bierze na siebie odpowiedzialność za zabijanie Polaków?   PRZEDSTAWICIELE, ale kogo? Powołano zespół do spraw zakupu szczepionki na COVID-19 https://t.co/yGzrf0ktDE"
FALSE;szanowny Pan redaktor ❤ czy znać Pan badanie który udowodnić nosić maseczka być bezpośrednio związać wzrost śmiertelność populacja ogólny być pandemia być wirus zdarzać się ciężki przebieg należeć znieść przymus izolacja kwarantanna co g7g8QBehYe;Szanowny Panie Redaktorze ❤  czy zna Pan badania, w których udowodniono, iż nienoszenie maseczki jest bezpośrednio związane ze wzrostem śmiertelności w populacji ogólnej ?Jest pandemia, jest wirus, zdarzają się ciężkie przebiegi. Należy znieść przymus izolacji i kwarantanny. https://t.co/g7g8QBehYe
FALSE;czy zauważyć być policjant nie chorować koronaświrusa tak jak pani sklep ktorych nie zamknąć bardzo dziwny być ten koronaświrus co M8b4IZ2AwN;Czy zauważyliście, że policjanci nie chorują na koronaświrusa?Tak jak panie ze sklepów ktorych nie zamknięto?Bardzo dziwny jest ten koronaświrus.  https://t.co/M8b4IZ2AwN
FALSE;mwj53 J_Pospieszalski tak to być ściema niech pani nie pisać taki bzdura prosić tutaj dana grypa dlaczego MZ on nie publikować czyż bać się zestawienie zajob #covid grypa dać PZH 16 22 wrzesień 2020 54.502 chory grypa dziennie 7.500 zachorować grypa dziennie;@mwj53 @J_Pospieszalski Tak to jest ściema niech Pani nie pisze takich bzdur proszę tutaj dane o grypie dlaczego MZ ich nie publikuje czyżby boi się zestawienia z #zajob #covid?GRYPA!Dane PZH 16-22 września 2020:54.502 CHORYCH na grypę. Dzienn
FALSE;koronawirus ujawnić tylko jeden fakt skrywać różny rząd wiele rok my państwowy służba zdrowie nie istnieć minister Zdrowie nawet nie wiedzieć ile mieć respirator marzec być 10 tysiąc potem kupić być kilka tysiąc efekt teraz mieć 800;Koronawirus ujawnił tylko jeden fakt, skrywany przez różne rządy od wielu lat.  U nas państwowa służba zdrowia nie istnieje. Minister Zdrowia nawet nie wie ile mamy respiratorów. W marcu było 10 tysięcy, potem kupiliśmy kilka tysięcy, w efekcie teraz mamy 800.
